start values, python addition, python multiplication
3.3982678195e-09,6.79653563899e-09,1.1548224173e-17,rip
5.60279643754e-09,1.12055928751e-08,3.13913279205e-17,rip
9.23744966197e-09,1.84748993239e-08,8.53304762574e-17,rip
1.52299797447e-08,3.04599594894e-08,2.31952283024e-16,rip
2.51099915574e-08,5.02199831149e-08,6.30511676015e-16,rip
4.13993771879e-08,8.27987543757e-08,1.71390843154e-15,rip
6.82560337633e-08,1.36512067527e-07,4.6588861451e-15,rip
1.12535174719e-07,2.25070349439e-07,1.26641655491e-14,rip
1.85539136262e-07,3.71078272523e-07,3.44247710847e-14,rip
3.05902320502e-07,6.11804641004e-07,9.35762296884e-14,rip
5.04347662568e-07,1.00869532514e-06,2.54366564738e-13,rip
8.31528719104e-07,1.66305743821e-06,6.91440010694e-13,rip
1.37095908638e-06,2.74191817277e-06,1.87952881654e-12,rip
2.26032940698e-06,4.52065881396e-06,5.10908902806e-12,rip
3.72665317208e-06,7.45330634416e-06,1.3887943865e-11,rip
6.14421235333e-06,1.22884247067e-05,3.77513454428e-11,rip
1.01300935986e-05,2.02601871973e-05,1.02618796317e-10,rip
1.67017007902e-05,3.34034015805e-05,2.78946809287e-10,rip
2.75364493497e-05,5.50728986995e-05,7.58256042791e-10,rip
4.53999297625e-05,9.0799859525e-05,2.06115362244e-09,rip
7.48518298877e-05,0.000149703659775,5.60279643754e-09,rip
0.000123409804087,0.000246819608173,1.52299797447e-08,rip
0.000203468369011,0.000406936738021,4.13993771879e-08,rip
0.000335462627903,0.000670925255805,1.12535174719e-07,rip
0.000553084370148,0.0011061687403,3.05902320502e-07,rip
0.000911881965555,0.00182376393111,8.31528719104e-07,rip
0.00150343919298,0.00300687838596,2.26032940698e-06,rip
0.00247875217667,0.00495750435333,6.14421235333e-06,0001100000000000
0.00408677143846,0.00817354287693,1.67017007902e-05,0001110000000000
0.00673794699909,0.0134758939982,4.53999297625e-05,0001111000000000
0.0111089965382,0.0222179930765,0.000123409804087,0010000100000000
0.0183156388887,0.0366312777775,0.000335462627903,0010010010000000
0.0301973834223,0.0603947668446,0.000911881965555,0010011110000000
0.0497870683679,0.0995741367357,0.00247875217667,0010101001000000
0.0820849986239,0.164169997248,0.00673794699909,0010110101000000
0.135335283237,0.270670566473,0.0183156388887,0011000001010000
0.223130160148,0.446260320297,0.0497870683679,0011001100100000
0.367879441171,0.735758882343,0.135335283237,0011010111100000
0.606530659713,1.21306131943,0.367879441171,0011100011011000
1.0,2.0,1.0,011110000000000
1.6487212707,3.2974425414,2.71828182846,011111010011000
2.71828182846,5.43656365692,7.38905609893,0100000101101111
4.48168907034,8.96337814068,20.0855369232,0100010001111011
7.38905609893,14.7781121979,54.5981500331,0100011101100011
12.1824939607,24.3649879214,148.413159103,0100101000010111
20.0855369232,40.1710738464,403.428793493,0100110100000101
33.1154519587,66.2309039174,1096.63315843,0101000000100011
54.5981500331,109.196300066,2980.95798704,0101001011010011
90.0171313005,180.034262601,8103.08392758,0101010110100000
148.413159103,296.826318205,22026.4657948,0101100010100011
244.691932264,489.383864528,59874.1417152,0101101110100101
403.428793493,806.857586985,162754.791419,0101111001001101
665.141633044,1330.28326609,442413.392009,0110000100110010
1096.63315843,2193.26631686,1202604.28416,0110010001001000
1808.04241446,3616.08482891,3269017.37247,0110011100010000
2980.95798704,5961.91597408,8886110.52051,0110100111010010
4914.7688403,9829.5376806,24154952.7536,0110110011001100
8103.08392758,16206.1678552,65659969.1373,0110111111101001
13359.7268297,26719.4536593,178482300.963,0111001010000101
22026.4657948,44052.9315896,485165195.41,0111010101100000
36315.5026742,72631.0053485,1318815734.48,0111100001101110
59874.1417152,119748.28343,3584912846.13,0111101101001111
98715.7710108,197431.542022,9744803446.25,0111111000000110
162754.791419,325509.582838,26489122129.8,0100000001111011
268337.286521,536674.573042,72004899337.4,0100001000001100
442413.392009,884826.784018,1.95729609429e+11,0100001101100000
729416.369848,1458832.7397,5.32048240602e+11,0100010011001000
1202604.28416,2405208.56833,1.44625706429e+12,0100011001001011
1982759.26354,3965518.52708,3.93133429714e+12,0100011111001000
3269017.37247,6538034.74494,1.06864745815e+13,0100100100011110
5389698.47628,10779396.9526,2.90488496652e+13,0100101010010001
8886110.52051,17772221.041,7.89629601827e+13,0100110000011110
14650719.429,29301438.8579,2.14643579786e+14,0100110101111110
24154952.7536,48309905.5072,5.83461742527e+14,0100111011100001
39824784.3976,79649568.7952,1.58601345231e+15,0101000001011111
65659969.1373,131319938.275,4.31123154712e+15,0101000111101001
108254987.75,216509975.5,1.17191423728e+16,0101001100111001
178482300.963,356964601.926,3.18559317571e+16,0101010010101000
294267566.042,588535132.083,8.6593400424e+16,0101011000110001
485165195.41,970330390.82,2.35385266837e+17,0101011110011101
799902177.476,1599804354.95,6.3984349353e+17,0101100011111010
1318815734.48,2637631468.97,1.73927494152e+18,0101101001110100
2174359553.58,4348719107.15,4.72783946823e+18,0101110000000110
3584912846.13,7169825692.26,1.28516001144e+19,0101110101010110
5910522063.02,11821044126.0,3.49342710575e+19,0101111011000000
9744803446.25,19489606892.5,9.4961194206e+19,0110000001000100
16066464720.6,32132929441.2,2.58131288619e+20,0110000110111101
26489122129.8,52978244259.7,7.0167359121e+20,0110001100010101
43673179097.6,87346358195.3,1.9073465725e+21,0110010010001010
72004899337.4,1.44009798675e+11,5.18470552859e+21,0110011000011000
1.18716009132e+11,2.37432018264e+11,1.40934908243e+22,0110011101110100
1.95729609429e+11,3.91459218858e+11,3.83100800072e+22,0110100011011001
3.22703570371e+11,6.45407140742e+11,1.0413759433e+23,0110101001011001
5.32048240602e+11,1.0640964812e+12,2.83075330327e+23,0110101111011111
8.77199251319e+11,1.75439850264e+12,7.69478526514e+23,0110110100110000
1.44625706429e+12,2.89251412858e+12,2.09165949601e+24,0110111010100001
2.3844747848e+12,4.7689495696e+12,5.68571999934e+24,0111000000101011
3.93133429714e+12,7.86266859429e+12,1.54553893559e+25,0111000110010011
6.48167447793e+12,1.29633489559e+13,4.20121040379e+25,0111001011110010
1.06864745815e+13,2.1372949163e+13,1.14200738982e+26,0111010001101110
1.76190179514e+13,3.52380359027e+13,3.1042979357e+26,0111011000000000
2.90488496652e+13,5.80976993305e+13,8.43835666874e+26,0111011101001101
4.78934563325e+13,9.57869126649e+13,2.29378315947e+27,0111100010111000
7.89629601827e+13,1.57925920365e+14,6.23514908081e+27,0111101000111110
1.30187912051e+14,2.60375824101e+14,1.69488924441e+28,0111101110110011
2.14643579786e+14,4.29287159572e+14,4.60718663433e+28,0111110100001100
3.53887435612e+14,7.07774871225e+14,1.25236317084e+29,0111111010000011
5.83461742527e+14,1.16692348505e+15,3.40427604993e+29,0100000000001001
9.61965785545e+14,1.92393157109e+15,9.25378172559e+29,0100000010110101
1.58601345231e+15,3.17202690463e+15,2.51543867092e+30,0100000101101000
2.61489411445e+15,5.22978822889e+15,6.83767122976e+30,0100001000101001
4.31123154712e+15,8.62246309423e+15,1.85867174528e+31,0100001011101010
7.10801915464e+15,1.42160383093e+16,5.05239363028e+31,0100001110010100
1.17191423728e+16,2.34382847456e+16,1.37338297954e+32,0100010001001101
1.93215993044e+16,3.86431986088e+16,3.7332419968e+32,0100010100010010
3.18559317571e+16,6.37118635142e+16,1.01480038811e+33,0100010111000100
5.25215522859e+16,1.05043104572e+17,2.75851345452e+33,0100011001110101
8.6593400424e+16,1.73186800848e+17,7.49841699699e+33,0100011100110011
1.42768381181e+17,2.85536762363e+17,2.03828106651e+34,0100011111111011
2.35385266837e+17,4.70770533674e+17,5.54062238439e+34,0100100010100010
3.88084696244e+17,7.76169392487e+17,1.50609731459e+35,0100100101011000
6.3984349353e+17,1.27968698706e+18,4.09399696213e+35,0100101000011100
1.0549235777e+18,2.1098471554e+18,1.11286375479e+36,0100101011010100
1.73927494152e+18,3.47854988304e+18,3.0250773222e+36,0100101110000010
2.86757959168e+18,5.73515918336e+18,8.22301271462e+36,0100110000111110
4.72783946823e+18,9.45567893646e+18,2.23524660373e+37,0100110100000110
7.79488949573e+18,1.55897789915e+19,6.07603022506e+37,0100110110110000
1.28516001144e+19,2.57032002287e+19,1.65163625499e+38,0100111001100100
2.11887064711e+19,4.23774129422e+19,4.48961281917e+38,0100111100100110
3.49342710575e+19,6.9868542115e+19,1.22040329432e+39,0100111111100100
5.75968757689e+19,1.15193751538e+20,3.31740009834e+39,0101000010001111
9.4961194206e+19,1.89922388412e+20,9.01762840503e+39,0101000101001001
1.56564540779e+20,3.13129081557e+20,2.45124554292e+40,0101001000001111
2.58131288619e+20,5.16262577238e+20,6.66317621641e+40,0101001010111111
4.25586546179e+20,8.51173092359e+20,1.81123908289e+41,0101001101110001
7.0167359121e+20,1.40334718242e+21,4.92345828601e+41,0101010000110000
1.15686417492e+21,2.31372834983e+21,1.3383347192e+42,0101010011110101
1.9073465725e+21,3.81469314499e+21,3.63797094761e+42,0101010110011101
3.14468286467e+21,6.28936572934e+21,9.88903031935e+42,0101011001010100
5.18470552859e+21,1.03694110572e+22,2.68811714182e+43,0101011100011001
8.5481342873e+21,1.70962685746e+22,7.30705997937e+43,0101011111001111
1.40934908243e+22,2.81869816485e+22,1.98626483614e+44,0101100001111110
2.32362381004e+22,4.64724762008e+22,5.39922761058e+44,0101100100111010
3.83100800072e+22,7.66201600143e+22,1.46766223016e+45,0101101000000011
6.316264379e+22,1.2632528758e+23,3.98951957055e+45,0101101010101100
1.0413759433e+23,2.08275188661e+23,1.08446385529e+46,0101101101100000
1.71693866852e+23,3.43387733704e+23,2.94787839146e+46,0101110000100010
2.83075330327e+23,5.66150660655e+23,8.013164264e+46,0101110011011111
4.66712318321e+23,9.33424636643e+23,2.17820388073e+47,0101110110001011
